timestamp,voltage,current,power,energy,rumah
2025-04-01,222.5,2.47,494.92,4.032,Rumah 1
2025-04-02,217.54,1.82,474.84,4.451,Rumah 1
2025-04-03,217.51,2.5,595.0,4.276,Rumah 1
2025-04-04,224.01,2.7,605.12,4.33,Rumah 1
2025-04-05,219.53,2.56,530.48,4.014,Rumah 1
2025-04-06,223.9,2.62,512.48,3.938,Rumah 1
2025-04-07,221.64,2.41,547.26,4.503,Rumah 1
2025-04-08,214.66,2.37,585.72,4.362,Rumah 1
2025-04-09,226.04,2.47,525.93,4.783,Rumah 1
2025-04-10,207.99,2.21,552.25,4.533,Rumah 1
2025-04-11,217.35,1.86,554.97,4.434,Rumah 1
2025-04-12,217.25,3.01,540.93,4.817,Rumah 1
2025-04-13,224.17,2.14,488.57,4.381,Rumah 1
2025-04-14,226.18,2.22,554.45,4.222,Rumah 1
2025-04-15,214.5,2.76,589.76,3.948,Rumah 1
2025-04-16,214.57,2.21,504.95,5.054,Rumah 1
2025-04-17,226.93,2.61,539.58,4.908,Rumah 1
2025-04-18,219.3,2.64,557.04,4.057,Rumah 1
2025-04-19,217.0,2.41,536.42,4.224,Rumah 1
2025-04-20,223.42,2.55,614.14,4.031,Rumah 1
2025-04-21,214.68,2.42,593.92,3.874,Rumah 1
2025-04-22,222.78,2.16,488.13,4.519,Rumah 1
2025-04-23,220.15,2.18,543.87,3.927,Rumah 1
2025-04-24,221.41,2.15,464.55,4.151,Rumah 1
2025-04-25,225.49,2.48,533.69,4.308,Rumah 1
2025-04-26,219.69,2.19,598.22,4.199,Rumah 1
2025-04-27,218.39,2.48,497.3,4.674,Rumah 1
2025-04-28,214.55,2.16,547.49,4.341,Rumah 1
2025-04-29,226.99,2.82,587.63,4.171,Rumah 1
2025-04-30,222.65,2.03,543.8,3.926,Rumah 1
